,X_Liver cancer,X_Kidney cancer,"X_Tracheal, bronchus, and lung cancer",X_Malignant skin melanoma,X_Leukemia,X_Breast cancer,X_Prostate cancer,X_Thyroid cancer,X_Bladder cancer,X_Uterine cancer,X_Ovarian cancer,X_Cervical cancer,X_Non-Hodgkin lymphoma,X_Pancreatic cancer,X_Colon and rectum cancer
Adjusted savings: carbon dioxide damage (% of GNI),0.15028941543933205,0.007860120955266529,0.010133727229274405,0.03665823733236774,0.011234358772738548,0.01866130172054027,0.03391343636412864,0.01962780418243314,0.01618140134554937,0.03333625836805918,0.011768846622240049,0.03261257826568955,0.011108062717610242,0.009523666044953855,0.01635873526637439
Adjusted savings: natural resources depletion (% of GNI),0.010405882270218441,0.0057711740048351935,0.011468113119688955,0.009319811942977114,0.014104921374858588,0.01670578662246408,0.007719602141050729,0.027327214354589777,0.009355338509142825,0.01814347638918101,0.006395059851939225,0.011191711537277929,0.011184337944635336,0.004036235277988369,0.011936943297118101
Adjusted savings: net forest depletion (% of GNI),0.01255751511482612,0.0045283928694454904,0.003059685135039954,0.0035284478460245626,0.006846329794010143,0.005293696528068784,0.0038249567977712094,0.012610115120323279,0.00254591717884354,0.012091327940435576,0.0011982021546801612,0.01711858863980693,0.008743376572810112,0.0030585194882750398,0.001838955198061648
Adjusted savings: particulate emission damage (% of GNI),0.029041570935486597,0.11148040830012085,0.09300748697452228,0.2579200412415564,0.048746169361350976,0.05590797888637646,0.19305105607607922,0.04239635582996559,0.01963648099930148,0.024352480863428838,0.07578628307665763,0.04853134889137328,0.6420993913877332,0.12792996884396426,0.12295142756711705
GDP (current US$),0.03273867158731833,0.044832326619095156,0.012996260201853984,0.00903135417918388,0.05012611416294871,0.025174970147970613,0.017674599155329734,0.034515157031513706,0.036128548927878285,0.028144201898256126,0.01673033436882874,0.059571817380253335,0.02022321071123269,0.027329842600721313,0.02304375616945409
Renewable energy consumption,0.04495941003259844,0.05592361975125017,0.031978356723355084,0.022994771536584382,0.055946454059648855,0.06653977502655746,0.031886108567405924,0.048808913366726506,0.04626585936896564,0.06182964586407553,0.0320613036208962,0.02336327363175504,0.09077874119735056,0.043428742815142335,0.033503638383914826
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",0.029343113766407473,0.017892106322544992,0.031495041349777,0.023375651957426195,0.015592824122086318,0.02622484771036543,0.021312633885521497,0.029849151992466245,0.04390870955077184,0.03198166437868207,0.03927331771591743,0.20215012484275544,0.028153980535430584,0.011216543408673459,0.034990606164977275
"Life expectancy at birth, total (years)",0.036900550647346375,0.011347998586065075,0.018622017888472373,0.00852276397807464,0.033938044320557394,0.038893592337365224,0.0820403959258425,0.03947064349614121,0.04660994413844553,0.040053029872184384,0.01664630809568947,0.14625630486868146,0.016798772897926667,0.014782079166515295,0.023358987204069672
Population,0.2969979932649309,0.02169451642183125,0.026526617443509586,0.017876529985077834,0.029378156725129778,0.060210777024178916,0.11841145814874621,0.05890112356031191,0.025306272930193052,0.07276086548722678,0.033539858584686666,0.07114041488559356,0.041887120359313156,0.01882920620999542,0.02167646513040517
Rural population (% of total population),0.009221275123454852,0.0203743156580656,0.014734013236720982,0.015556117489181131,0.01677161133093414,0.02071349290275382,0.029717693961777456,0.02894067765820714,0.018929961708983586,0.037666152319652896,0.009987987774135553,0.04292473782561897,0.017428830423867264,0.014567136436359958,0.018759196838328267
Total natural resources rents (% of GDP),0.031240824831647186,0.007400397774074966,0.007350710706810042,0.011224016953040226,0.02085925774897639,0.04030365033332555,0.02706718082790393,0.04894972773357546,0.020717676361880048,0.03988504628759753,0.008389885791239199,0.027099980414167217,0.013226901302165276,0.009751782016649595,0.009091701477068484
Urban population (% of total population),0.010536117316464824,0.021902817873745616,0.014203910909366506,0.016092831361022446,0.01615303541819967,0.023798719497553175,0.01608293898423661,0.026885060709981916,0.022609758986786316,0.033405020816437994,0.010807492703077834,0.049383611359201385,0.018367737795760775,0.01608690695873871,0.017087748970977017
Class,0.03769565473295709,0.0015303100333035427,0.010637884077976367,0.0019243224624910728,0.011390255339147465,0.022249466945743184,0.09343435015294739,0.5266689335140466,0.004227005028639967,0.0052596800362179974,0.004656903772043896,0.09376575402875643,0.02986536488073312,0.007410889299966978,0.0027467209483522286
World Regions_Central and Southern Asia,6.025116207134618e-05,0.0015847277157420522,0.0002509957251625202,0.0005573344150601949,0.007820942583689079,0.0008688635005112238,0.003329333084586977,0.0010075996596686438,0.00011197695050536514,0.00047069822366731625,0.0008076109520223221,0.029080965928020282,0.0020876985365933898,0.00019102389300243132,9.61181492918278e-05
World Regions_Eastern and South-Eastern Asia,0.17713847621013923,0.0001587750390454364,0.0030184603184003865,0.00023325116899461723,0.0004583974112648761,0.0015246862676581354,0.0008288562226285705,0.004238892511080241,5.626938781600603e-05,0.0024685593656125476,0.0014246418963091087,0.0016260660710666185,0.002778763421589238,0.00038486402970957693,0.0014808165082787802
World Regions_Europe and Northern America,0.08443309876411455,0.6633705090239119,0.7047315304370159,0.563016082713158,0.5886253925869345,0.5551580449321151,0.21686882754730877,0.0017263887645692433,0.6775787609912403,0.48579994923062647,0.727227054651702,0.007162248684683859,0.028017884304217137,0.6861293131996345,0.6585047637668053
World Regions_Latin America and Caribbean,0.00037206294487606193,0.0003825037024607596,0.0006592599047475388,0.0006237811837863937,0.0022675672347432637,0.0036442317188143535,0.05247767102085373,0.0018128508458611088,0.0015987198322816034,0.05176727478499314,0.0006503735434449309,0.028203594539591224,0.012106349438185006,0.0009976914530438188,0.0005156525277219684
World Regions_Northern Africa and Western Asia,0.002349376110679945,0.0016560609914166068,0.004203420002932903,0.0013150019579684761,0.001967145300781664,0.010623099009635777,0.04763197816613603,0.001318221511643158,0.008020738750941715,0.0055906530158832245,0.002238864890270223,0.10592116427728925,0.0006741209579792163,0.004160371211784469,0.0016832539833274587
World Regions_Oceania,0.0030969691615955856,0.00026640570032052417,0.00017074042277133303,2.6486326760968208e-05,0.00037585767438031456,0.006607635659633719,0.0005397355771464832,0.001812497683746632,7.320710082480436e-05,0.013162584741835279,0.00017437272387111887,0.0016910132019560095,0.0012063100585383802,5.3381903158133156e-05,0.0003270385674544479
World Regions_Sub-Saharan Africa,0.0006217705835345848,4.2512657458376344e-05,0.0007517681926020245,0.00020316396926383986,0.06739716467761935,0.0008953832283688409,0.0021871873925982154,0.043132670473148345,0.00013745195100888213,0.001831430115946157,0.00023529721034821355,0.0012047007264622597,0.003263044556328675,0.00013183574172227102,4.747388090200977e-05
