economic_factors,decision_tree_liver_cancer,decision_tree_kidney_cancer,decision_tree_tracheal_bronchus_lung_cancer,decision_tree_malignant_skin_melanoma,decision_tree_leukemia_cancer,decision_tree_breast_cancer,decision_tree_prostate_cancer,decision_tree_thyroid_cancer,decision_tree_bladder_cancer,decision_tree_uterine_cancer,decision_tree_ovarian_cancer,decision_tree_cervical_cancer,decision_tree_non_hodgkin_lymphoma,decision_tree_pancreatic_cancer,decision_tree_colon_and_rectum_cancer,linear_regression_liver_cancer,linear_regression_kidney_cancer,linear_regression_tracheal_bronchus_lung_cancer,linear_regression_malignant_skin_melanoma,linear_regression_leukemia_cancer,linear_regression_breast_cancer,linear_regression_prostate_cancer,linear_regression_thyroid_cancer,linear_regression_bladder_cancer,linear_regression_uterine_cancer,linear_regression_ovarian_cancer,linear_regression_cervical_cancer,linear_regression_non_hodgkin_lymphoma,linear_regression_pancreatic_cancer,linear_regression_colon_and_rectum_cancer,random_forest_liver_cancer,random_forest_kidney_cancer,random_forest_tracheal_bronchus_lung_cancer,random_forest_malignant_skin_melanoma,random_forest_leukemia_cancer,random_forest_breast_cancer,random_forest_prostate_cancer,random_forest_thyroid_cancer,random_forest_bladder_cancer,random_forest_uterine_cancer,random_forest_ovarian_cancer,random_forest_cervical_cancer,random_forest_non_hodgkin_lymphoma,random_forest_pancreatic_cancer,random_forest_colon_and_rectum_cancer
Adjusted savings: carbon dioxide damage (% of GNI)                                                  ,0.245713328353989,0.0313938654847113,0,0.0115002358066613,0.0698880660931678,0.0321595581321277,0.0919117862778908,0.00909375211999888,0.00753031373659235,0.124278547367878,0.0351107237296462,0.0650881292284209,0.00287214214542323,0,0,1.20091869511371,0.106064476054054,1.07761733056384,-0.00946858890705746,0.0192817071246815,-0.126336231676375,-0.708388827698095,0.0377620697866125,-0.0418465041061097,0.0546666345490848,0.0277734052543897,0.143234849740323,-0.260142419219884,-0.00409234921495396,0.291665423934039,0.285666735834574,0.0509059922688976,0.0843230380012965,0.0719220824929112,0.0378935644817699,0.0929838463735211,0.0629336715066669,0.0393229695487543,0.0734985552964539,0.12344288935442,0.0659526317416977,0.0686143092925917,0.0208335232661659,0.0497384069766929,0.0583569619755685
Adjusted savings: natural resources depletion (% of GNI)                                            ,0,0,0,0,0.0844211656699514,0,0,0,0,0.109541652810143,0.119586645997029,0,0,0.112064243020814,0.0406121727449769,-0.173520627121625,0.0135855926460052,0.0565363305225822,0.0160651842412313,-0.0229492374912386,-0.0445169854648719,0.0934463267660489,0.00547513443768236,-0.00831458075070052,-0.00860933246484129,0.00254980711242919,-0.00199501318520329,-0.00517727966455532,0.00576555933489194,0.0427190256698701,0.094972719703782,0.0506849250534262,0.0558132357941246,0.0496101436583511,0.0706557881679694,0.094001702539571,0.0238646099652913,0.0428481280230577,0.0662679476818049,0.0859005927872011,0.0719967402520748,0.0370329543738464,0.034259248913468,0.0496511267219257,0.0633767094198296
Adjusted savings: net forest depletion (% of GNI)                                                   ,0,0,0,0,0,0,0,0,0,0.122978813229332,0.0095281603731307,0,0,0,0,0.135691160165064,0.110151449809296,0.672108010414908,0.0604166771605489,0.0964667986325991,0.242699130238329,0.25347690220975,-0.00147835363551622,0.147198032465884,0.0414608332372038,0.116019424737771,-0.0680473477699718,0.0539594118202727,0.266391678447694,0.555195925504471,0.012194064285481,0.00898151902001033,0.0093901505889636,0.00884475388169076,0.0117068752445079,0.0175825537286086,0.0267310476633967,0.00694005589473682,0.00683877891239365,0.0484007730951047,0.0124888870913451,0.0442885408266531,0.0111666881055696,0.00772727736990855,0.00897922548763124
Adjusted savings: particulate emission damage (% of GNI)                                            ,0,0.82996715979076,0.542933919092997,0.626510590811601,0.161730176538223,0.0585143032470227,0.0436740421883512,0.222162024014126,0.584553809805948,0.0616354844641997,0.792228500112604,0,0.755164481659974,0.854169008611032,0.57544501355591,0.123713931444997,-0.22505456658284,-0.138148733387611,-0.0121611918077743,0.115932400688004,-0.535259461950291,-1.21132538182122,-0.0549176138956213,0.0702297217652857,-0.184142710135872,-0.367890595871978,-0.105566588133604,-0.0152478464053728,-0.42223147611599,-0.763314458504009,0.046229759975937,0.487203538991157,0.265534381771025,0.474520716441427,0.17597490748574,0.152165752396496,0.308829347547955,0.147869998812817,0.274859955085849,0.125055888807099,0.407953583256636,0.0551147946733329,0.322263565425699,0.414346242907064,0.280263272531464
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes               ",0,0,0.19039169864747,0,0,0,0.177423852479385,0,0,0,0,0,0,0,0.0290543146587058,-0.0056513503125613,0.000514582412802414,0.00363761641997154,0.00127838546310635,-0.000370651106593437,-0.000486946855043081,0.00214803008115186,-0.000126225895670567,-0.000939833761675795,0.000628143925922198,0.000245714511142106,0.00100191551933198,-0.00102840806379654,-0.0015828823390706,-0.00366444504205902,0.0651917801351559,0.0498187387699384,0.0768724611826447,0.0369190638080986,0.0506848197622674,0.0236602846012755,0.0334851019904246,0.0298301882705629,0.0405033697572521,0.0323576902490658,0.0441659876338063,0.0938967663760295,0.0258356274892743,0.0483370789354336,0.0526447732310121
Class                                                                                               ,0,0,0,0,0,0,0,0.600931423254343,0,0,0,0,0,0,0,0.563291285452281,0.0661979897088559,-1.59438027381012,0.0341801741576959,0.0575717070805944,0.543344817413077,1.03254652219225,-0.0591021323487075,0.0777160942250504,0.0908755070882113,0.208118565596182,-0.360713906963771,0.244907027189247,0.0761703711977285,-0.0586514050105716,0.00207073717978966,0.0039341797514992,0.0395772613694711,0.00179382292476237,0.0483993097630512,0.0434319952178855,0.0147436800905482,0.315448700183364,0.0194555391814814,0.0100983631381309,0.0154736990711422,0.00249070725648752,0.00316210597126378,0.019577759694727,0.0445916090975869
GDP (current US$)                                                                                   ,0.132253467820336,0,0,0,0.00304676568915719,0,0,0,0.055807153279062,0,0,0.480734738381546,0,0,0,0.000207912462973908,3.65772456203418e-06,0.000148892082526778,-2.63733325165028e-05,3.29902026881935e-05,3.81413180719504e-05,-5.82522407726739e-05,5.16973438085493e-06,4.54374980116053e-05,-1.39489132581035e-05,8.0214334955459e-06,-3.11091548533922e-05,6.33189304253638e-05,0.00010787537475833,0.000177978414246998,0.117926194671899,0.0429622291401342,0.0401884180284544,0.0249196459566093,0.0403752607422447,0.025155829747029,0.0271270111242013,0.0385195836728285,0.0504546119843839,0.029291301899753,0.0301974239898576,0.123668604740965,0.0225280446322407,0.0371304640765765,0.0655489790783334
"Life expectancy at birth, total (years)                                                             ",1.28834369903739e-05,0.0515435639687318,0.0250384691541915,0,0.0767364271334762,0.155258651709282,0.530481463691393,0.13617898515577,0.0140736334118693,0.0543673274669211,0.0435459697875903,0.095607496632522,0.0683030332590233,0,0,0.0463499776026747,0.101563412588002,0.789412432616962,0.0579025421790718,0.102233651722915,0.187448432141923,0.208321378020951,0.0204185956388451,0.0971937076691925,0.034046628991797,0.0730217339079802,-0.188297645505296,0.105025984994969,0.209770293114345,0.440483050964118,0.141555046428901,0.111905604448154,0.10127977400387,0.115653384059897,0.160205081585621,0.128804642631663,0.187720761034543,0.158431242384037,0.152881747069595,0.0472338472833606,0.132635912037749,0.193639892187745,0.422118062039555,0.139157540219376,0.131627029829647
Population                                                                                          ,0,0,0.0256202780476819,0,0,0.0546735476063315,0,0,0.0289425528949422,0,0,0,0.0776179934806658,0,0,0.00214101138786936,-0.000534224695817592,-0.00230892410989868,-0.000713947683787548,-6.70793904518811e-05,-0.000697594137090052,-0.0017541777848418,2.71501043234108e-05,9.39906370960216e-05,-0.00042355808209529,-0.000426682430540444,-0.000556377500371366,0.000116625782436316,-7.07705719037832e-06,0.000498646718281931,0.0323671981029159,0.0236629790419166,0.0278932391940921,0.0189420873423474,0.0221059831293491,0.0420971727151989,0.0613407003664137,0.0346549415562762,0.0355057082230008,0.0516671766058553,0.0189978269630334,0.065660010073683,0.026570955928154,0.0189742339805729,0.0184525858928804
Renewable energy consumption                                                                        ,0.559653991660748,0,0,0.0863471802882471,0.0403002416876291,0,0,0,0,0,0,0,0.0960423494549135,0,0.150375733993404,-0.0314653025029717,0.0098509401805251,-0.0377768699704584,0.00860326834052309,-0.00749889287055182,-0.0614160005758372,-0.0150872635431066,0.00412435606761589,-0.00919291639778081,-0.00668344467888778,-0.00427967955219143,-0.0118980729965227,-0.00964332557947707,-0.0108144083703179,-0.0545432822409222,0.0629233465982747,0.0524197403467023,0.0301043268633573,0.0352013104555716,0.0526563286402482,0.0682971828340148,0.0591689848411436,0.0980714523005644,0.050998301796746,0.0706161125706491,0.0548327511190304,0.119135020509256,0.025515085756558,0.0512442032347656,0.0592099326016844
