economic_factors,decision_tree_liver_cancer,decision_tree_kidney_cancer,decision_tree_tracheal_bronchus_lung_cancer,decision_tree_malignant_skin_melanoma,decision_tree_leukemia_cancer,decision_tree_breast_cancer,decision_tree_prostate_cancer,decision_tree_thyroid_cancer,decision_tree_bladder_cancer,decision_tree_uterine_cancer,decision_tree_ovarian_cancer,decision_tree_cervical_cancer,decision_tree_non_hodgkin_lymphoma,decision_tree_pancreatic_cancer,decision_tree_colon_and_rectum_cancer,linear_regression_liver_cancer,linear_regression_kidney_cancer,linear_regression_tracheal_bronchus_lung_cancer,linear_regression_malignant_skin_melanoma,linear_regression_leukemia_cancer,linear_regression_breast_cancer,linear_regression_prostate_cancer,linear_regression_thyroid_cancer,linear_regression_bladder_cancer,linear_regression_uterine_cancer,linear_regression_ovarian_cancer,linear_regression_cervical_cancer,linear_regression_non_hodgkin_lymphoma,linear_regression_pancreatic_cancer,linear_regression_colon_and_rectum_cancer,random_forest_liver_cancer,random_forest_kidney_cancer,random_forest_tracheal_bronchus_lung_cancer,random_forest_malignant_skin_melanoma,random_forest_leukemia_cancer,random_forest_breast_cancer,random_forest_prostate_cancer,random_forest_thyroid_cancer,random_forest_bladder_cancer,random_forest_uterine_cancer,random_forest_ovarian_cancer,random_forest_cervical_cancer,random_forest_non_hodgkin_lymphoma,random_forest_pancreatic_cancer,random_forest_colon_and_rectum_cancer
Adjusted savings: carbon dioxide damage (% of GNI)                                                  ,0.24571332835398900,0.03139386548471150,0.00000000000000000,0.01150023580666170,0.06988806609317260,0.07544940991055720,0.09191178627789090,0.00909375211999929,0.00753031373659247,0.12427854736787900,0.03511072372964510,0.06508812922842090,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.20091869511371000,0.10606447605405400,1.07761733056384000,-0.00946858890705746,0.01928170712468150,-0.12633623167637500,-0.70838882769809500,0.03776206978661250,-0.04184650410610970,0.05466663454908480,0.02777340525438970,0.14323484974032300,-0.26014241921988400,-0.00409234921495396,0.29166542393403900,0.28566673583457400,0.05090599226889760,0.08432303800129650,0.07192208249291120,0.03789356448176990,0.09298384637352110,0.06293367150666690,0.03932296954875430,0.07349855529645390,0.12344288935442000,0.06595263174169770,0.06861430929259170,0.02083352326616590,0.04973840697669290,0.05835696197556850
Adjusted savings: natural resources depletion (% of GNI)                                            ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.08442116566994480,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.10954165281014200,0.11958664599702800,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,-0.17352062712162500,0.01358559264600520,0.05653633052258220,0.01606518424123130,-0.02294923749123860,-0.04451698546487190,0.09344632676604890,0.00547513443768236,-0.00831458075070052,-0.00860933246484129,0.00254980711242919,-0.00199501318520329,-0.00517727966455532,0.00576555933489194,0.04271902566987010,0.09497271970378200,0.05068492505342620,0.05581323579412460,0.04961014365835110,0.07065578816796940,0.09400170253957100,0.02386460996529130,0.04284812802305770,0.06626794768180490,0.08590059278720110,0.07199674025207480,0.03703295437384640,0.03425924891346800,0.04965112672192570,0.06337670941982960
Adjusted savings: net forest depletion (% of GNI)                                                   ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.12297881322933200,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.13569116016506400,0.11015144980929600,0.67210801041490800,0.06041667716054890,0.09646679863259910,0.24269913023832900,0.25347690220975000,-0.00147835363551622,0.14719803246588400,0.04146083323720380,0.11601942473777100,-0.06804734776997180,0.05395941182027270,0.26639167844769400,0.55519592550447100,0.01219406428548100,0.00898151902001033,0.00939015058896360,0.00884475388169076,0.01170687524450790,0.01758255372860860,0.02673104766339670,0.00694005589473682,0.00683877891239365,0.04840077309510470,0.01248888709134510,0.04428854082665310,0.01116668810556960,0.00772727736990855,0.00897922548763124
Adjusted savings: particulate emission damage (% of GNI)                                            ,0.00000000000000000,0.82996715979076100,0.54293391909299700,0.62651059081160200,0.16173017653822500,0.05851430324702210,0.04367404218835100,0.22216202401412500,0.58455380980594800,0.00000000000000000,0.79222850011260600,0.00000000000000000,0.75803662380539500,0.85416900861103300,0.57544501355590900,0.12371393144499700,-0.22505456658284000,-0.13814873338761100,-0.01216119180777430,0.11593240068800400,-0.53525946195029100,-1.21132538182122000,-0.05491761389562130,0.07022972176528570,-0.18414271013587200,-0.36789059587197800,-0.10556658813360400,-0.01524784640537280,-0.42223147611599000,-0.76331445850400900,0.04622975997593700,0.48720353899115700,0.26553438177102500,0.47452071644142700,0.17597490748574000,0.15216575239649600,0.30882934754795500,0.14786999881281700,0.27485995508584900,0.12505588880709900,0.40795358325663600,0.05511479467333290,0.32226356542569900,0.41434624290706400,0.28026327253146400
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes               ",0.00000000000000000,0.00000000000000000,0.21601197669515100,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02894255289494220,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02905431465870520,-0.00565135031256130,0.00051458241280241,0.00363761641997154,0.00127838546310635,-0.00037065110659344,-0.00048694685504308,0.00214803008115186,-0.00012622589567057,-0.00093983376167580,0.00062814392592220,0.00024571451114211,0.00100191551933198,-0.00102840806379654,-0.00158288233907060,-0.00366444504205902,0.06519178013515590,0.04981873876993840,0.07687246118264470,0.03691906380809860,0.05068481976226740,0.02366028460127550,0.03348510199042460,0.02983018827056290,0.04050336975725210,0.03235769024906580,0.04416598763380630,0.09389676637602950,0.02583562748927430,0.04833707893543360,0.05264477323101210
Class                                                                                               ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.60093142325434300,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.56329128545228100,0.06619798970885590,-1.59438027381012000,0.03418017415769590,0.05757170708059440,0.54334481741307700,1.03254652219225000,-0.05910213234870750,0.07771609422505040,0.09087550708821130,0.20811856559618200,-0.36071390696377100,0.24490702718924700,0.07617037119772850,-0.05865140501057160,0.00207073717978966,0.00393417975149920,0.03957726136947110,0.00179382292476237,0.04839930976305120,0.04343199521788550,0.01474368009054820,0.31544870018336400,0.01945553918148140,0.01009836313813090,0.01547369907114220,0.00249070725648752,0.00316210597126378,0.01957775969472700,0.04459160909758690
GDP (current US$)                                                                                   ,0.13226635125732700,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00304676568915720,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.05580715327906210,0.00000000000000000,0.00000000000000000,0.48073473838154400,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00020791246297391,0.00000365772456203,0.00014889208252678,-0.00002637333251650,0.00003299020268819,0.00003814131807195,-0.00005825224077267,0.00000516973438085,0.00004543749801161,-0.00001394891325810,0.00000802143349555,-0.00003110915485339,0.00006331893042536,0.00010787537475833,0.00017797841424700,0.11792619467189900,0.04296222914013420,0.04018841802845440,0.02491964595660930,0.04037526074224470,0.02515582974702900,0.02712701112420130,0.03851958367282850,0.05045461198438390,0.02929130189975300,0.03019742398985760,0.12366860474096500,0.02252804463224070,0.03713046407657650,0.06554897907833340
"Life expectancy at birth, total (years)                                                             ",0.00000000000000000,0.05154356396873150,0.02503846915419190,0.00000000000000000,0.07673642713347630,0.15525865170928200,0.53048146369139200,0.13617898515577000,0.01407363341186960,0.05436732746692090,0.04354596978759020,0.11108457662069800,0.06830303325902580,0.00000000000000000,0.00000000000000000,0.04634997760267470,0.10156341258800200,0.78941243261696200,0.05790254217907180,0.10223365172291500,0.18744843214192300,0.20832137802095100,0.02041859563884510,0.09719370766919250,0.03404662899179700,0.07302173390798020,-0.18829764550529600,0.10502598499496900,0.20977029311434500,0.44048305096411800,0.14155504642890100,0.11190560444815400,0.10127977400387000,0.11565338405989700,0.16020508158562100,0.12880464263166300,0.18772076103454300,0.15843124238403700,0.15288174706959500,0.04723384728336060,0.13263591203774900,0.19363989218774500,0.42211806203955500,0.13915754021937600,0.13162702982964700
Population                                                                                          ,0.55965399166074700,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.05467354760633160,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.07761799348066490,0.00000000000000000,0.00216343626449106,0.00214101138786936,-0.00053422469581759,-0.00230892410989868,-0.00071394768378755,-0.00006707939045188,-0.00069759413709005,-0.00175417778484180,0.00002715010432341,0.00009399063709602,-0.00042355808209529,-0.00042668243054044,-0.00055637750037137,0.00011662578243632,-0.00000707705719038,0.00049864671828193,0.03236719810291590,0.02366297904191660,0.02789323919409210,0.01894208734234740,0.02210598312934910,0.04209717271519890,0.06134070036641370,0.03465494155627620,0.03550570822300080,0.05166717660585530,0.01899782696303340,0.06566001007368300,0.02657095592815400,0.01897423398057290,0.01845258589288040
Renewable energy consumption                                                                        ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.08634718028824610,0.04030024168762850,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00952816037313047,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.15037573399340400,-0.03146530250297170,0.00985094018052510,-0.03777686997045840,0.00860326834052309,-0.00749889287055182,-0.06141600057583720,-0.01508726354310660,0.00412435606761589,-0.00919291639778081,-0.00668344467888778,-0.00427967955219143,-0.01189807299652270,-0.00964332557947707,-0.01081440837031790,-0.05454328224092220,0.06292334659827470,0.05241974034670230,0.03010432686335730,0.03520131045557160,0.05265632864024820,0.06829718283401480,0.05916898484114360,0.09807145230056440,0.05099830179674600,0.07061611257064910,0.05483275111903040,0.11913502050925600,0.02551508575655800,0.05124420323476560,0.05920993260168440
