Country,Year,Liver,Kidney,TBL,Melanoma,Leukemia,Breast,Prostate,Thyroid,Bladder,Uterine ,Ovarian ,Cervical ,NHlymphoma ,Pancreatic,CR,Electricity_Access,C02_Damage,NR_Depletion,Forest_Depletion,Emission_Damage,Expenditure,GDP,Continent,Final_Expenditure,Inflation,Renewable_Energy,C02_Annual,Income,Life_Expectancty,Population,Regime,Rural,NR_Rents,Urban,Regions
0,2000,316,40,748,23,125,162,192,14,25,29,31,51,41,115,184,100.0,1.563257993,0.292709162,0.0,0.455814504,92.42716152,3480355189.0,2,9.69235792,0.050018136,41.44499969,3.004,2,,,1,58.259,,,2
0,2001,301,42,734,21,121,163,195,14,26,28,32,50,40,120,188,100.0,1.53456116,0.214370389,0.0,0.38142777,88.83557674,3922099471.0,2,10.62598748,3.10758827,39.12530136,3.221,2,74.288,3060173.0,1,57.565,0.755950477951608,42.435,2
0,2002,295,47,765,21,124,175,206,14,28,30,35,53,42,133,202,100.0,1.688402104,0.229340575,0.0,0.366750732,91.36973554,4348070165.0,2,11.33507772,7.770525834,35.89580154,3.748,2,74.579,3051010.0,1,56.499,0.760798239531304,43.501,2
0,2003,290,53,806,21,129,191,219,15,30,32,38,57,45,148,221,100.0,1.556741276,0.230806807,0.0,0.354887519,91.42890599,5611492283.0,2,11.09839691,0.484002612,33.75170135,4.232,2,74.828,3039616.0,1,55.427,0.733194369383988,44.573,2
0,2004,272,57,817,21,132,198,227,15,31,33,40,58,46,159,230,100.0,1.248492816,0.248708331,0.0,0.333258935,88.41525018,7184681399.0,2,11.20590769,2.280019169,35.93470001,4.104,2,75.039,3026939.0,1,54.349,0.770849476407675,45.651,2
0,2005,246,60,804,20,131,208,230,15,31,35,42,60,46,166,236,100.0,1.200392814,0.353888284,0.0,0.308828712,87.97666832,8052075642.0,2,11.0312184,2.366581957,36.86830139,4.199,2,75.228,3011487.0,2,53.269,1.0183823734434,46.731,2
0,2006,224,61,780,20,126,210,229,14,31,34,43,60,45,169,235,100.0,1.042206946,0.445885968,0.0,0.272184642,88.15034482,8896073938.0,2,10.52724933,2.370728319,31.7098999,3.844,2,75.423,2992547.0,2,52.185,1.32183144186644,47.815,2
0,2007,211,63,768,20,122,209,233,13,31,34,45,59,45,173,237,100.0,0.920281891,0.517005792,0.0,0.244337122,92.24437006,10677321490.0,2,10.47748228,2.932682482,32.10039902,3.829,2,75.646,2970017.0,2,51.098,1.76108609247365,48.902,2
0,2008,208,66,796,20,125,219,245,13,32,35,47,60,47,184,248,100.0,0.904943979,0.317165734,0.0,0.239493795,93.47269239,12881354104.0,2,10.37896602,3.363137574,35.91189957,4.272,2,75.912,2947314.0,2,50.009,1.10999894994736,49.991,2
0,2009,207,67,809,21,126,220,256,14,33,36,49,60,47,192,256,100.0,1.019991545,0.157641731,0.0,0.24455644,91.92871516,12044223353.0,2,11.1094361,2.231396835,37.21519852,4.254,3,76.221,2927519.0,2,48.924,0.605979694463314,51.076,2
